,State,Municipality,Crop,Active agricultural production units - Total,Active agricultural production units - With open agriculture,Cultivated area - Sown,Cultivated area - Harvested,Production,Water Modality - Temporary - Production unit,Water Modality - Temporary - Cultivated area - Sown,Water Modality - Temporary - Cultivated area - Harvested,Water Modality - Temporary - Production,Water Modality - Irrigation - Production unit,Water Modality - Irrigation - Cultivated area - Sown,Water Modality - Irrigation - Cultivated area - Harvested,Water Modality - Irrigation - Production
45868,30 VER,106 Miahuatlán,Yellow corn,14,14,9.39,8.89,12.95,14,9.39,8.89,12.95,0,0,0,0
45869,30 VER,106 Miahuatlán,White corn,190,190,134.4719,125.6229,141.274,190,134.4719,125.6229,141.274,0,0,0,0
45884,30 VER,107 Las Minas,Yellow corn,81,81,79.9935,35.626,36.104,81,79.9935,35.626,36.104,0,0,0,0
45885,30 VER,107 Las Minas,White corn,347,347,419.1502,204.0049,181.5512,347,419.1502,204.0049,181.5512,0,0,0,0
45905,30 VER,108 Minatitlán,Forage corn,17,17,49.5,45.4552,562.8183,17,49.5,45.4552,562.8183,0,0,0,0
45906,30 VER,108 Minatitlán,Yellow corn,206,206,431.5956,421.0956,822.2636,206,431.5956,421.0956,822.2636,0,0,0,0
45907,30 VER,108 Minatitlán,White corn,3993,3993,11722.4297,10813.2102,18575.7644,3993,11722.4297,10813.2102,18575.7644,0,0,0,0
45934,30 VER,109 Misantla,Forage corn,4,4,16.5,15,82.1,4,16.5,15,82.1,0,0,0,0
45935,30 VER,109 Misantla,Yellow corn,229,229,375.465,359.09,456.1232,229,375.465,359.09,456.1232,0,0,0,0
45936,30 VER,109 Misantla,White corn,1213,1213,1547.1233,1385.0017,1605.1073,1213,1547.1233,1385.0017,1605.1073,0,0,0,0
45959,30 VER,110 Mixtla de Altamirano,Forage corn,*,*,0.4396,0.4396,0.35,*,0.4396,0.4396,0.35,*,0,0,0
45960,30 VER,110 Mixtla de Altamirano,Yellow corn,16,16,9.727,9.227,7.5537,16,9.727,9.227,7.5537,0,0,0,0
45961,30 VER,110 Mixtla de Altamirano,White corn,1402,1402,978.3147,938.1831,1041.9829,1402,978.3147,938.1831,1041.9829,0,0,0,0
45983,30 VER,111 Moloacán,Forage corn,13,13,29.4,29.4,149.41,13,29.4,29.4,149.41,0,0,0,0
45984,30 VER,111 Moloacán,Yellow corn,12,12,25.825,25.645,61.2409,12,25.825,25.645,61.2409,0,0,0,0
45985,30 VER,111 Moloacán,White corn,53,53,93.5035,88.5035,98.3276,53,93.5035,88.5035,98.3276,0,0,0,0
46007,30 VER,112 Naolinco,Forage corn,11,11,12.7,12.7,139.595,11,12.7,12.7,139.595,0,0,0,0
46008,30 VER,112 Naolinco,Yellow corn,20,20,12.2,12.2,21.0997,17,9.7,9.7,16.0997,3,2.5,2.5,5
46009,30 VER,112 Naolinco,White corn,487,487,408.1767,385.7951,543.6993,476,400.2486,377.867,528.8993,11,7.9281,7.9281,14.8
46028,30 VER,113 Naranjal,Forage corn,5,5,3.6256,3.6256,6,5,3.6256,3.6256,6,0,0,0,0
46029,30 VER,113 Naranjal,White corn,96,96,57.8304,55.5474,92.3999,96,57.8304,55.5474,92.3999,0,0,0,0
46046,30 VER,114 Nautla,Forage corn,4,4,9.75,3.25,4.9,4,9.75,3.25,4.9,0,0,0,0
46047,30 VER,114 Nautla,Yellow corn,45,45,56.2951,51.5451,74.4934,45,56.2951,51.5451,74.4934,0,0,0,0
46048,30 VER,114 Nautla,White corn,101,101,330.0075,314.7225,663.8826,101,330.0075,314.7225,663.8826,0,0,0,0
46074,30 VER,115 Nogales,Forage corn,55,55,38.9134,38.9119,151.3929,55,38.9134,38.9119,151.3929,0,0,0,0
46075,30 VER,115 Nogales,Yellow corn,5,5,5.24,4.49,9.38,5,5.24,4.49,9.38,0,0,0,0
46076,30 VER,115 Nogales,White corn,543,543,524.6809,409.8506,565.1537,518,500.7059,389.5956,505.5847,28,23.975,20.255,59.569
46101,30 VER,116 Oluta,Forage corn,6,6,18,18,258.3,6,18,18,258.3,0,0,0,0
46102,30 VER,116 Oluta,Yellow corn,13,13,11.0219,11.0219,28.05,13,11.0219,11.0219,28.05,0,0,0,0
46103,30 VER,116 Oluta,White corn,178,178,314.0064,302.5064,666.9849,178,314.0064,302.5064,666.9849,0,0,0,0
46126,30 VER,117 Omealca,Forage corn,*,*,1,1,14.1,*,1,1,14.1,*,0,0,0
46127,30 VER,117 Omealca,Yellow corn,7,7,7.25,7.25,4.2,7,7.25,7.25,4.2,0,0,0,0
46128,30 VER,117 Omealca,White corn,240,240,218.6915,188.1435,400.974,213,198.0484,172.6204,351.858,27,20.6431,15.5231,49.116
46148,30 VER,118 Orizaba,White corn,*,*,0.25,0.12,0.4,*,0.25,0.12,0.4,*,0,0,0
46156,30 VER,119 Otatitlán,Yellow corn,5,5,15,8,37.34,5,15,8,37.34,0,0,0,0
46157,30 VER,119 Otatitlán,White corn,29,29,34.7119,32.7119,115.7542,29,34.7119,32.7119,115.7542,0,0,0,0
46169,30 VER,120 Oteapan,White corn,19,19,23.75,23.25,27.5,19,23.75,23.25,27.5,0,0,0,0
46189,30 VER,121 Ozuluama de Mascareñas,Forage corn,32,32,1149.28,1134.228,2295.4248,32,1149.28,1134.228,2295.4248,0,0,0,0
46190,30 VER,121 Ozuluama de Mascareñas,Yellow corn,26,26,76.695,41.627,149.1076,26,76.695,41.627,149.1076,0,0,0,0
46191,30 VER,121 Ozuluama de Mascareñas,White corn,876,876,2733.2096,1780.1724,3359.3358,874,2725.7096,1777.6724,3346.6858,2,7.5,2.5,12.65
46222,30 VER,122 Pajapan,Forage corn,3,3,3,2,0.75,3,3,2,0.75,0,0,0,0
46223,30 VER,122 Pajapan,Yellow corn,219,219,263.0282,215.4859,633.345,219,263.0282,215.4859,633.345,0,0,0,0
46224,30 VER,122 Pajapan,White corn,1097,1097,1636.6862,1455.099,1913.7913,1095,1634.6862,1453.599,1912.9563,2,2,1.5,0.835
46253,30 VER,123 Pánuco,Forage corn,61,61,511.6182,428.1182,5190.8486,44,320.8182,276.3182,3617.3986,17,190.8,151.8,1573.45
46254,30 VER,123 Pánuco,Yellow corn,42,42,259.8818,153.0184,775.1351,35,214.6318,114.5184,398.2201,7,45.25,38.5,376.915
46255,30 VER,123 Pánuco,White corn,1184,1184,4579.1795,2886.2001,5620.2179,1020,3923.8395,2470.7801,4338.7276,166,655.34,415.42,1281.4903
46286,30 VER,124 Papantla,Forage corn,150,150,540.1168,524.5368,819.7186,150,540.1168,524.5368,819.7186,0,0,0,0
46287,30 VER,124 Papantla,Yellow corn,110,110,656.32,565.48,1706.2697,110,656.32,565.48,1706.2697,0,0,0,0
46288,30 VER,124 Papantla,White corn,5592,5592,20252.7979,17883.1166,14130.8485,5591,20246.7979,17877.2697,14101.2632,1,6,5.8469,29.5853
46312,30 VER,125 Paso del Macho,Forage corn,89,89,168.9188,162.7688,2130.5296,85,159.2088,153.0588,1797.4766,4,9.71,9.71,333.053
46313,30 VER,125 Paso del Macho,Yellow corn,18,18,17.8292,16.3292,47.686,16,14.8792,13.3792,44.5705,2,2.95,2.95,3.1155
46314,30 VER,125 Paso del Macho,White corn,482,482,883.127,856.2418,2587.0373,456,858.3348,832.8578,2530.9062,26,24.7922,23.384,56.1311
46337,30 VER,126 Paso de Ovejas,Forage corn,16,16,31.95,31.95,433.089,10,23.47,23.47,201.85,6,8.48,8.48,231.239
46338,30 VER,126 Paso de Ovejas,Yellow corn,18,18,72.58,72.58,390.445,16,63.5,63.5,302.235,2,9.08,9.08,88.21
46339,30 VER,126 Paso de Ovejas,White corn,851,851,2441.4938,2367.4361,7338.3403,788,2342.0728,2268.5151,6891.4296,66,99.421,98.921,446.9107
46365,30 VER,127 La Perla,Forage corn,7,7,7.8598,7.8598,7.3082,7,7.8598,7.8598,7.3082,0,0,0,0
46366,30 VER,127 La Perla,Yellow corn,8,8,3.483,3.483,2.86,8,3.483,3.483,2.86,0,0,0,0
46367,30 VER,127 La Perla,White corn,948,948,630.7603,617.7694,930.7214,948,630.7603,617.7694,930.7214,0,0,0,0
46389,30 VER,128 Perote,Forage corn,5,5,18.35,4.4,37.84,5,18.35,4.4,37.84,0,0,0,0
46390,30 VER,128 Perote,Yellow corn,165,165,772.315,156.721,314.7945,164,770.315,154.721,312.7945,1,2,2,2
46391,30 VER,128 Perote,White corn,2509,2509,10015.9181,3009.7068,5714.8154,2446,9342.9581,2380.7407,2391.3943,88,672.96,628.9661,3323.4211
46410,30 VER,129 Platón Sánchez,Forage corn,19,19,55.37,55.37,825.0557,19,55.37,55.37,825.0557,0,0,0,0
46411,30 VER,129 Platón Sánchez,Yellow corn,375,375,406.2649,329.2855,413.6352,375,406.2649,329.2855,413.6352,0,0,0,0
46412,30 VER,129 Platón Sánchez,White corn,738,738,923.075,816.2956,908.8319,737,920.075,813.2956,899.8319,1,3,3,9
46436,30 VER,130 Playa Vicente,Forage corn,91,91,292.4756,185.7756,3506.6,91,292.4756,185.7756,3506.6,0,0,0,0
46437,30 VER,130 Playa Vicente,Yellow corn,148,148,312.0476,283.1964,1079.4092,148,312.0476,283.1964,1079.4092,0,0,0,0
46438,30 VER,130 Playa Vicente,White corn,2096,2096,6026.758,5652.2041,21861.7441,2096,6026.758,5652.2041,21861.7441,0,0,0,0
46463,30 VER,131 Poza Rica de Hidalgo,Forage corn,*,*,11,11,10.5,*,11,11,10.5,*,0,0,0
46464,30 VER,131 Poza Rica de Hidalgo,White corn,15,15,112.9677,109.7177,142.9634,15,112.9677,109.7177,142.9634,0,0,0,0
46482,30 VER,132 Las Vigas de Ramírez,Forage corn,23,23,63.74,62.24,406.83,23,63.74,62.24,406.83,0,0,0,0
46483,30 VER,132 Las Vigas de Ramírez,Yellow corn,124,124,136.8467,127.9417,169.9222,124,136.8467,127.9417,169.9222,0,0,0,0
46484,30 VER,132 Las Vigas de Ramírez,White corn,983,983,1129.9055,1102.5735,1508.3844,983,1129.9055,1102.5735,1508.3844,0,0,0,0
46501,30 VER,133 Pueblo Viejo,Forage corn,6,6,11.315,7.8819,111.1348,6,11.315,7.8819,111.1348,0,0,0,0
46502,30 VER,133 Pueblo Viejo,White corn,33,33,76.92,46.02,86.18,33,76.92,46.02,86.18,0,0,0,0
46523,30 VER,134 Puente Nacional,Forage corn,15,15,33.3318,33.3318,637.3752,11,24.3318,24.3318,342.9752,4,9,9,294.4
46524,30 VER,134 Puente Nacional,Yellow corn,16,16,30.3212,30.3212,99.6774,15,28.8212,28.8212,97.6774,1,1.5,1.5,2
46525,30 VER,134 Puente Nacional,White corn,1073,1073,2292.6947,2278.7033,5742.7278,1049,2237.7642,2223.7728,5494.8199,26,54.9305,54.9305,247.9079
46549,30 VER,135 Rafael Delgado,Forage corn,*,*,1,1,1,*,1,1,1,*,0,0,0
46550,30 VER,135 Rafael Delgado,Yellow corn,9,9,3.335,3.215,10.6,9,3.335,3.215,10.6,0,0,0,0
46551,30 VER,135 Rafael Delgado,White corn,161,161,102.2869,101.2869,158.9717,136,95.4187,94.4187,137.7182,25,6.8682,6.8682,21.2535
46570,30 VER,136 Rafael Lucio,Forage corn,7,7,11,5,125,7,11,5,125,0,0,0,0
46571,30 VER,136 Rafael Lucio,Yellow corn,12,12,8.284,7.984,19.93,12,8.284,7.984,19.93,0,0,0,0
46572,30 VER,136 Rafael Lucio,White corn,69,69,54.4944,53.5065,87.8224,69,54.4944,53.5065,87.8224,0,0,0,0
46590,30 VER,137 Los Reyes,Yellow corn,69,69,53.5999,53.5999,37.8786,69,53.5999,53.5999,37.8786,0,0,0,0
46591,30 VER,137 Los Reyes,White corn,640,640,465.2764,454.5006,487.8237,640,465.2764,454.5006,487.8237,0,0,0,0
46609,30 VER,138 Río Blanco,White corn,*,*,0.02,0.02,0.0313,*,0.02,0.02,0.0313,*,0,0,0
46618,30 VER,139 Saltabarranca,Forage corn,*,*,1.5,1.5,21.15,*,1.5,1.5,21.15,*,0,0,0
46619,30 VER,139 Saltabarranca,White corn,17,17,24.763,24.763,35.65,17,24.763,24.763,35.65,0,0,0,0
46631,30 VER,140 San Andrés Tenejapan,Yellow corn,*,*,0.5,0.5,0.3,*,0.5,0.5,0.3,*,0,0,0
46632,30 VER,140 San Andrés Tenejapan,White corn,49,49,24.8816,24.8448,24.1382,49,24.8816,24.8448,24.1382,0,0,0,0
46647,30 VER,141 San Andrés Tuxtla,Forage corn,46,46,160.52,150.89,1921.2865,46,160.52,150.89,1921.2865,0,0,0,0
46648,30 VER,141 San Andrés Tuxtla,Yellow corn,104,104,140.6954,135.8954,300.4312,104,140.6954,135.8954,300.4312,0,0,0,0
46649,30 VER,141 San Andrés Tuxtla,White corn,4984,4984,10018.3406,9833.9575,18592.477,4976,10012.5942,9828.2111,18566.4012,8,5.7464,5.7464,26.0758
46678,30 VER,142 San Juan Evangelista,Forage corn,80,80,418.41,380.41,4784.952,79,388.41,365.41,4270.452,1,30,15,514.5
46679,30 VER,142 San Juan Evangelista,Yellow corn,412,412,769.117,669.518,2015.0638,412,769.117,669.518,2015.0638,0,0,0,0
46680,30 VER,142 San Juan Evangelista,White corn,2087,2087,4908.4268,4610.085,9889.0219,2082,4894.4268,4596.085,9821.3419,5,14,14,67.68
46707,30 VER,143 Santiago Tuxtla,Forage corn,155,155,216.9219,216.8219,653.05,155,216.9219,216.8219,653.05,0,0,0,0
46708,30 VER,143 Santiago Tuxtla,Yellow corn,31,31,82.2352,81.4212,223.1678,31,82.2352,81.4212,223.1678,0,0,0,0
46709,30 VER,143 Santiago Tuxtla,White corn,2733,2733,6603.574,6411.4543,10456.7907,2733,6602.574,6410.4543,10454.7907,1,1,1,2
46737,30 VER,144 Sayula de Alemán,Forage corn,45,45,126,101.5,1390.65,45,126,101.5,1390.65,0,0,0,0
46738,30 VER,144 Sayula de Alemán,Yellow corn,58,58,219.74,214.74,778.5008,58,219.74,214.74,778.5008,0,0,0,0
46739,30 VER,144 Sayula de Alemán,White corn,1160,1160,2440.6035,2319.6136,4744.2326,1160,2440.6035,2319.6136,4744.2326,0,0,0,0
46767,30 VER,145 Soconusco,Forage corn,12,12,17,16.5,248.65,12,17,16.5,248.65,0,0,0,0
46768,30 VER,145 Soconusco,Yellow corn,11,11,70.31,70.31,273.25,10,69.56,69.56,267.25,1,0.75,0.75,6
46769,30 VER,145 Soconusco,White corn,296,296,564.6117,540.2889,1225.0328,296,564.6117,540.2889,1225.0328,0,0,0,0
46795,30 VER,146 Sochiapa,White corn,*,*,0.25,0.25,0.4,*,0.25,0.25,0.4,*,0,0,0
46808,30 VER,147 Soledad Atzompa,Forage corn,*,*,129.13,129.13,0.45,*,129.13,129.13,0.45,*,0,0,0
46809,30 VER,147 Soledad Atzompa,Yellow corn,22,22,14.45,13.625,35.12,21,12.45,11.625,15.54,1,2,2,19.58
46810,30 VER,147 Soledad Atzompa,White corn,2405,2405,1300.7458,1234.4648,1049.4406,2378,1279.6658,1214.9548,1024.7856,28,21.08,19.51,24.655
46831,30 VER,148 Soledad de Doblado,Forage corn,27,27,89.446,87.446,1484.471,19,71.446,69.946,902.481,8,18,17.5,581.99
46832,30 VER,148 Soledad de Doblado,Yellow corn,29,29,95.46,89.46,332.2532,26,90.21,88.21,329.8532,3,5.25,1.25,2.4
46833,30 VER,148 Soledad de Doblado,White corn,1374,1374,4433.5015,4300.2431,12862.2429,1276,4215.291,4102.2121,12169.9947,102,218.2105,198.031,692.2482
46858,30 VER,149 Soteapan,Forage corn,69,69,100.8908,100.3908,550.59,69,100.8908,100.3908,550.59,0,0,0,0
46859,30 VER,149 Soteapan,Yellow corn,91,91,129.8832,124.7576,330.4392,91,129.8832,124.7576,330.4392,0,0,0,0
46860,30 VER,149 Soteapan,White corn,4391,4391,11023.7161,10593.7411,20370.148,4391,11023.7161,10593.7411,20370.148,0,0,0,0
46884,30 VER,150 Tamalín,Forage corn,10,10,24.9825,18.92,125.5,10,24.9825,18.92,125.5,0,0,0,0
46885,30 VER,150 Tamalín,Yellow corn,25,25,34.56,28.84,61.8665,25,34.56,28.84,61.8665,0,0,0,0
46886,30 VER,150 Tamalín,White corn,467,467,758.8497,648.8838,411.3396,467,758.8497,648.8838,411.3396,0,0,0,0
46911,30 VER,151 Tamiahua,Forage corn,87,87,129.32,104.32,377.863,87,129.32,104.32,377.863,0,0,0,0
46912,30 VER,151 Tamiahua,Yellow corn,3,3,2.5,2,3.87,3,2.5,2,3.87,0,0,0,0
46913,30 VER,151 Tamiahua,White corn,1011,1011,1277.4776,947.6435,1028.179,1011,1277.4776,947.6435,1028.179,0,0,0,0
46938,30 VER,152 Tampico Alto,Forage corn,42,42,158,56.3,761.6,42,153,56.3,761.6,1,5,0,0
46939,30 VER,152 Tampico Alto,Yellow corn,8,8,8.875,2.8444,4.0329,8,8.875,2.8444,4.0329,0,0,0,0
46940,30 VER,152 Tampico Alto,White corn,110,110,215.675,132.2365,194.7192,110,215.675,132.2365,194.7192,0,0,0,0
46967,30 VER,153 Tancoco,Forage corn,7,7,10,10,12.6,7,10,10,12.6,0,0,0,0
46968,30 VER,153 Tancoco,Yellow corn,*,*,2,0,0,*,2,0,0,*,0,0,0
46969,30 VER,153 Tancoco,White corn,234,234,299.7951,287.0638,337.3382,234,299.7951,287.0638,337.3382,0,0,0,0
46987,30 VER,154 Tantima,Forage corn,*,*,2,1,0.3,*,2,1,0.3,*,0,0,0
46988,30 VER,154 Tantima,Yellow corn,21,21,18.89,15.34,10.445,21,18.89,15.34,10.445,0,0,0,0
46989,30 VER,154 Tantima,White corn,788,788,981.5546,728.0815,599.2413,787,980.8546,727.3815,599.1413,1,0.7,0.7,0.1
47017,30 VER,155 Tantoyuca,Forage corn,14,14,68.66,47.89,677.72,14,68.66,47.89,677.72,0,0,0,0
47018,30 VER,155 Tantoyuca,Yellow corn,117,117,130.9162,102.8352,181.6842,117,130.9162,102.8352,181.6842,0,0,0,0
47019,30 VER,155 Tantoyuca,White corn,8960,8960,9360.7152,7529.0884,7258.1033,8959,9359.7152,7528.0884,7257.1033,1,1,1,1
47047,30 VER,156 Tatatila,Yellow corn,126,126,115.6214,88.4827,90.1503,126,115.6214,88.4827,90.1503,0,0,0,0
47048,30 VER,156 Tatatila,White corn,401,401,375.6281,249.6929,155.832,401,375.6281,249.6929,155.832,0,0,0,0
47065,30 VER,157 Castillo de Teayo,Forage corn,6,6,6.75,6.45,3.9,6,6.75,6.45,3.9,0,0,0,0
47066,30 VER,157 Castillo de Teayo,Yellow corn,25,25,35.5,29.25,21.9081,25,35.5,29.25,21.9081,0,0,0,0
47067,30 VER,157 Castillo de Teayo,White corn,492,492,1077.6434,973.3373,894.573,492,1077.6434,973.3373,894.573,0,0,0,0
47090,30 VER,158 Tecolutla,Forage corn,36,36,39.68,31.055,82.608,36,39.68,31.055,82.608,0,0,0,0
47091,30 VER,158 Tecolutla,Yellow corn,6,6,5.75,3.75,1.691,6,5.75,3.75,1.691,0,0,0,0
47092,30 VER,158 Tecolutla,White corn,560,560,1126.5095,886.1916,504.7151,558,1123.5095,883.1916,498.7151,2,3,3,6
47117,30 VER,159 Tehuipango,Forage corn,5,5,2.0755,2.0755,2.39,5,2.0755,2.0755,2.39,0,0,0,0
47118,30 VER,159 Tehuipango,Yellow corn,73,73,25.0785,19.6017,21.1524,73,25.0785,19.6017,21.1524,0,0,0,0
47119,30 VER,159 Tehuipango,White corn,3056,3056,1144.2181,1100.512,1130.6513,3056,1144.2181,1100.512,1130.6513,0,0,0,0
47139,30 VER,160 Álamo Temapache,Forage corn,62,62,152.56,93.36,1161.2297,61,150.56,91.36,1116.2297,1,2,2,45
47140,30 VER,160 Álamo Temapache,Yellow corn,36,36,40.75,39.61,56.34,36,40.75,39.61,56.34,0,0,0,0
47141,30 VER,160 Álamo Temapache,White corn,2018,2018,3665.0902,3324.4058,2915.7236,2016,3660.5902,3320.4058,2913.7236,2,4.5,4,2
47167,30 VER,161 Tempoal,Forage corn,164,164,431.0352,359.8525,3470.0971,163,426.0352,354.8525,3450.0971,1,5,5,20
47168,30 VER,161 Tempoal,Yellow corn,212,212,211.1095,87.998,138.5488,212,211.1095,87.998,138.5488,0,0,0,0
47169,30 VER,161 Tempoal,White corn,1977,1977,2281.3451,1333.1218,1289.915,1974,2258.3451,1310.1218,1182.055,3,23,23,107.86
47196,30 VER,162 Tenampa,Yellow corn,*,*,0.5,0.5,0.3,*,0.5,0.5,0.3,*,0,0,0
47197,30 VER,162 Tenampa,White corn,30,30,26.8354,26.8354,45.6271,30,26.8354,26.8354,45.6271,0,0,0,0
47212,30 VER,163 Tenochtitlán,Forage corn,*,*,1,1,1,*,1,1,1,*,0,0,0
47213,30 VER,163 Tenochtitlán,Yellow corn,109,109,134.4164,128.5664,137.6225,109,134.4164,128.5664,137.6225,0,0,0,0
47214,30 VER,163 Tenochtitlán,White corn,213,213,231.2564,213.9365,233.7375,213,231.2564,213.9365,233.7375,0,0,0,0
47228,30 VER,164 Teocelo,Forage corn,3,3,2,2,31.15,3,2,2,31.15,0,0,0,0
47229,30 VER,164 Teocelo,Yellow corn,*,*,0.04,0.04,0.0452,*,0.04,0.04,0.0452,*,0,0,0
47230,30 VER,164 Teocelo,White corn,33,33,22.6165,22.6165,21.5099,33,22.6165,22.6165,21.5099,0,0,0,0
47248,30 VER,165 Tepatlaxco,Forage corn,3,3,3.628,3.628,2.8,3,3.628,3.628,2.8,0,0,0,0
47249,30 VER,165 Tepatlaxco,Yellow corn,54,54,63.2538,55.8318,58.0286,54,63.2538,55.8318,58.0286,0,0,0,0
47250,30 VER,165 Tepatlaxco,White corn,45,45,63.7611,36.1461,39.7,45,63.7611,36.1461,39.7,0,0,0,0
47264,30 VER,166 Tepetlán,Forage corn,5,5,4.25,4.125,18.2625,5,4.25,4.125,18.2625,0,0,0,0
47265,30 VER,166 Tepetlán,Yellow corn,49,49,50.4,35.9,41.68,49,50.4,35.9,41.68,0,0,0,0
47266,30 VER,166 Tepetlán,White corn,410,410,430.1835,365.8835,501.2572,403,424.3435,360.0435,491.7512,7,5.84,5.84,9.506
47282,30 VER,167 Tepetzintla,Forage corn,55,55,228.4,224.9,179.7119,55,228.4,224.9,179.7119,0,0,0,0
47283,30 VER,167 Tepetzintla,Yellow corn,8,8,13.25,13.25,38.96,8,13.25,13.25,38.96,0,0,0,0
47284,30 VER,167 Tepetzintla,White corn,452,452,746.4387,730.244,899.2419,452,746.4387,730.244,899.2419,0,0,0,0
47303,30 VER,168 Tequila,Forage corn,*,*,1,1,1,*,1,1,1,*,0,0,0
47304,30 VER,168 Tequila,Yellow corn,9,9,5.9858,4.9858,2.05,9,5.9858,4.9858,2.05,0,0,0,0
47305,30 VER,168 Tequila,White corn,1419,1419,1149.642,962.9156,843.5044,1419,1149.642,962.9156,843.5044,0,0,0,0
47325,30 VER,169 José Azueta,Forage corn,25,25,78.2,75.2,1270.52,25,78.2,75.2,1270.52,0,0,0,0
47326,30 VER,169 José Azueta,Yellow corn,26,26,70.874,65.874,342.5732,26,70.874,65.874,342.5732,0,0,0,0
47327,30 VER,169 José Azueta,White corn,1988,1988,8482.1302,8245.8754,41038.1388,1986,8478.1302,8241.8754,41017.1888,2,4,4,20.95
47349,30 VER,170 Texcatepec,Yellow corn,5,5,9.9,7.8158,16.8,5,9.9,7.8158,16.8,0,0,0,0
47350,30 VER,170 Texcatepec,White corn,1886,1886,3131.3583,2624.6218,2165.8749,1886,3131.3583,2624.6218,2165.8749,0,0,0,0
47367,30 VER,171 Texhuacán,Forage corn,*,*,2,0,0,*,2,0,0,*,0,0,0
47368,30 VER,171 Texhuacán,White corn,646,646,567.468,554.1738,708.415,646,567.468,554.1738,708.415,0,0,0,0
47388,30 VER,172 Texistepec,Forage corn,10,10,26.5,25.5,316.955,10,26.5,25.5,316.955,0,0,0,0
47389,30 VER,172 Texistepec,Yellow corn,24,24,59.5,51.5,199.89,24,59.5,51.5,199.89,0,0,0,0
47390,30 VER,172 Texistepec,White corn,1923,1923,4921.6572,4682.252,15242.4736,1922,4911.6572,4672.252,15172.4736,1,10,10,70
47416,30 VER,173 Tezonapa,Forage corn,4,4,4.5,4.5,16.4,4,4.5,4.5,16.4,0,0,0,0
47417,30 VER,173 Tezonapa,Yellow corn,402,402,425,417.7708,474.2403,402,425,417.7708,474.2403,0,0,0,0
47418,30 VER,173 Tezonapa,White corn,1182,1182,1192.61,1162.2981,902.7617,1182,1192.61,1162.2981,902.7617,0,0,0,0
47444,30 VER,174 Tierra Blanca,Forage corn,39,39,155.8314,141.8314,3841.751,34,100.8314,86.8314,1243.151,5,55,55,2598.6
47445,30 VER,174 Tierra Blanca,Yellow corn,52,52,178.7552,150.7552,838.7345,46,123.7552,95.7552,307.6545,6,55,55,531.08
47446,30 VER,174 Tierra Blanca,White corn,1715,1715,2645.867,2491.4835,5893.4349,1593,2406.389,2252.0055,4853.5431,122,239.478,239.478,1039.8918
47475,30 VER,175 Tihuatlán,Forage corn,61,61,179.516,127.031,459,61,179.516,127.031,459,0,0,0,0
47476,30 VER,175 Tihuatlán,Yellow corn,57,57,145.74,130.172,288.6113,57,145.74,130.172,288.6113,0,0,0,0
47477,30 VER,175 Tihuatlán,White corn,1254,1254,3645.2629,3057.9086,2440.8583,1254,3645.2629,3057.9086,2440.8583,0,0,0,0
47503,30 VER,176 Tlacojalpan,Forage corn,*,*,17.5,17.5,40.7,*,17.5,17.5,40.7,*,0,0,0
47504,30 VER,176 Tlacojalpan,Yellow corn,6,6,10.28,4.88,8.6946,6,10.28,4.88,8.6946,0,0,0,0
47505,30 VER,176 Tlacojalpan,White corn,51,51,77.3243,73.0743,166.1784,51,77.3243,73.0743,166.1784,0,0,0,0
47522,30 VER,177 Tlacolulan,Forage corn,13,13,19.795,19.795,149.638,13,19.795,19.795,149.638,0,0,0,0
47523,30 VER,177 Tlacolulan,Yellow corn,408,408,506.215,503.215,432.8142,408,506.215,503.215,432.8142,0,0,0,0
47524,30 VER,177 Tlacolulan,White corn,599,599,636.9157,627.7178,438.031,598,636.9057,627.7166,438.028,1,0.01,0.0012,0.003
47537,30 VER,178 Tlacotalpan,Forage corn,5,5,8,7,70.9639,5,8,7,70.9639,0,0,0,0
47538,30 VER,178 Tlacotalpan,Yellow corn,*,*,3,3,12,*,3,3,12,*,0,0,0
47539,30 VER,178 Tlacotalpan,White corn,98,98,339.73,199.23,358.0853,97,339.23,198.73,356.0853,1,0.5,0.5,2
47550,30 VER,179 Tlacotepec de Mejía,Forage corn,5,5,9.1328,8.5048,107.3177,5,9.1328,8.5048,107.3177,0,0,0,0
47551,30 VER,179 Tlacotepec de Mejía,Yellow corn,*,*,10,10,36.7,*,10,10,36.7,*,0,0,0
47552,30 VER,179 Tlacotepec de Mejía,White corn,32,32,68.2148,67.4712,124.7007,32,68.2148,67.4712,124.7007,0,0,0,0
47564,30 VER,180 Tlachichilco,Forage corn,96,96,88.25,88.25,74.3059,96,88.25,88.25,74.3059,0,0,0,0
47565,30 VER,180 Tlachichilco,Yellow corn,10,10,7.25,7.25,10.45,10,7.25,7.25,10.45,0,0,0,0
47566,30 VER,180 Tlachichilco,White corn,1392,1392,2264.0102,2173.2854,2621.1131,1392,2264.0102,2173.2854,2621.1131,0,0,0,0
47591,30 VER,181 Tlalixcoyan,Forage corn,41,41,177.82,176.82,4391.162,30,109.32,108.32,2041.612,11,68.5,68.5,2349.55
47592,30 VER,181 Tlalixcoyan,Yellow corn,20,20,41.53,39.78,257.2326,15,24.53,22.78,90.8026,5,17,17,166.43
47593,30 VER,181 Tlalixcoyan,White corn,478,478,1408.6949,1385.7849,5233.905,375,871.4435,854.5335,2377.7941,107,537.2514,531.2514,2856.1109
47619,30 VER,182 Tlalnelhuayocan,Yellow corn,*,*,2.012,2.012,1.0645,*,2.012,2.012,1.0645,*,0,0,0
